score,year,make,model,trim,price,net_cost_8mo,accidents,one_owner,carfax_url,loss_private,loss_instant,expected_repairs,fees,miles,miles_at_sale,liquidity,expected_price,under_market,color,body,seller_type,dealer,city,source,reliability,complaints,recalls,first_seen,days_listed,price_drop,is_new,url,reliability_note
42.6,2017,Honda,HR-V,EX 4dr SUV AWD (1.8L 4cyl CVT),19720,8941,0,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=3CZRU6H5XHM718088&partner=FRD_2,5476,8392,309,1958,48604,56604,0.75,17835,-1885,Blue,small_suv,dealer,AutoNation Volkswagen Carlsbad,Carlsbad,auto.dev,97.8,122,,2026-09-20,4,0,False,https://bmwencinitas.com/used/Honda/2017-Honda-HR-V-68c718edac183b721f3e0223c0500f42.htm,
42.6,2023,Kia,Forte,GT 4dr Sedan (1.6L 4cyl Turbo 7AM),18995,8349,0,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=3KPF44AC9PE650851&partner=FRD_2,5307,7645,248,1898,31582,39582,0.75,18162,-833,Blue,sedan,dealer,Laguna Niguel Hyundai,Laguna Niguel,auto.dev,58.8,61,,2026-09-20,4,0,False,https://www.carfax.com/vehicle/3KPF44AC9PE650851,
42.6,2019,Kia,Forte,FE 4dr Sedan (2.0L 4cyl 6M),15998,7590,,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=3KPF24AD0KE115625&partner=FRD_2,4606,6561,429,1646,44913,52913,0.75,13708,-2290,Black,sedan,dealer,CarMax Murrieta,Murrieta,auto.dev,43.0,147,,2026-09-20,4,0,False,https://www.autolist.com/kia-forte#vin=3KPF24AD0KE115625,
42.5,2015,Toyota,Camry,XLE 4dr Sedan (2.5L 4cyl 6A),17080,9915,1,True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=4T1BF1FK9FU990889&partner=FRD_2,6534,8745,466,1737,71019,79019,0.75,16393,-687,Gray,sedan,dealer,Toyota Chula Vista,Chula Vista,auto.dev,85.6,271,,2026-09-22,2,0,False,https://www.carfax.com/vehicle/4T1BF1FK9FU990889,
42.4,2021,Honda,HR-V,,20000,10426,1,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=3CZRU6H13MM709529&partner=FRD_2,7515,9685,222,1982,70616,78616,0.75,19424,-576,Aegean Blue Metallic,small_suv,dealer,diamond valley honda,Hemet,auto.dev,100.0,63,,2026-09-22,2,0,False,https://www.diamondvalleyhonda.com/viewdetails/used/3czru6h13mm709529/2021-honda-hr-v-sport-utility?type=finance,
42.4,2023,Hyundai,Kona,SEL 4dr SUV (electric DD),19222,8405,0,True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=KM8K33AG1PU179337&partner=FRD_2,5360,7727,233,1917,34190,42190,0.75,18849,-373,Gray,small_suv,dealer,Hyundai of El Cajon,El Cajon,auto.dev,65.6,65,,2026-09-20,4,491,False,https://www.carfax.com/vehicle/KM8K33AG1PU179337,
42.3,2020,Nissan,Sentra,SV 4dr Sedan (2.0L 4cyl CVT),13384,6919,0,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=3N1AB8CV1LY278181&partner=FRD_2,3834,5480,674,1426,85675,93675,0.6900000000000001,12767,-617,Brown,sedan,dealer,Honor GMC,National City,auto.dev,5.5,204,,2026-09-20,4,0,False,https://honorgmc.com/inventory/Used-2020-Nissan-Sentra-SV-3N1AB8CV1LY278181,Nissan CVT history - replacement can exceed the car's value (improved 2020 redesign)
42.3,2023,Nissan,Kicks,SR 4dr Hatchback (1.6L 4cyl CVT),19062,8367,0,True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=3N1CP5DV8PL541325&partner=FRD_2,5322,7669,245,1903,30959,38959,0.75,16894,-2168,Blue,hatchback,dealer,Mossy Nissan Chula Vista,Chula Vista,auto.dev,60.1,34,,2026-09-20,4,500,False,https://www.autolist.com/nissan-kicks#vin=3N1CP5DV8PL541325,
42.2,2016,Toyota,Camry,LE 4dr Sedan (2.5L 4cyl 6A),14113,9590,1,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=4T1BF1FK7GU133052&partner=FRD_2,5536,8052,590,1487,131085,139085,0.46499999999999997,14400,287,White,sedan,dealer,Toyota Carlsbad,Carlsbad,auto.dev,95.3,188,,2026-09-23,1,1475,False,https://toyotacarlsbad.com/used/Toyota/2016-Toyota-Camry-c6809ce9ac1829354b5a14180ca3ddef.htm,
42.2,2015,Toyota,Prius v,Two 4dr Wagon (1.8L 4cyl gas/electric hybrid CVT),17498,9113,0,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTDZN3EUXFJ038893&partner=FRD_2,5529,8003,551,1772,77104,85104,0.6900000000000001,17302,-196,Silver,hatchback,dealer,AutoNation Toyota Irvine,Irvine,auto.dev,74.3,139,,2026-09-23,1,0,False,https://www.carfax.com/vehicle/JTDZN3EUXFJ038893,Gen 3 engine family - ask for EGR circuit service records
